op,bytes,provider,threads,trial,wall_ns_per_iter,cpu_ns_per_iter
parse_cdata_many,4194304,cand-off,1,7,1448568.5,1445500.0
parse_cdata_many,4194304,cand-auto8,8,7,421089.5,1765500.0
parse_cdata_many,4194304,cand-auto16,16,7,492727.5,2731000.0
parse_cdata_many,4194304,cand-on8,8,7,443531.0,1912000.0
parse_cdata_many,16777216,oracle,1,1,41479325.0,41415000.0
parse_cdata_many,16777216,cand-off,1,1,5203312.0,5163000.0
parse_cdata_many,16777216,cand-auto8,8,1,1819289.0,7432000.0
parse_cdata_many,16777216,cand-auto16,16,1,1498291.0,9013000.0
parse_cdata_many,16777216,cand-on8,8,1,2125349.0,8054000.0
parse_cdata_many,16777216,cand-on8,8,2,2019021.0,8053000.0
parse_cdata_many,16777216,cand-auto16,16,2,1875143.0,10112000.0
parse_cdata_many,16777216,cand-auto8,8,2,1714344.0,6881000.0
parse_cdata_many,16777216,cand-off,1,2,5315641.0,5300000.0
parse_cdata_many,16777216,oracle,1,2,42418305.0,42341000.0
parse_cdata_many,16777216,oracle,1,3,42869825.0,42806000.0
parse_cdata_many,16777216,cand-off,1,3,4763733.0,4752000.0
parse_cdata_many,16777216,cand-auto8,8,3,2629999.0,7423000.0
parse_cdata_many,16777216,cand-auto16,16,3,1716688.0,9327000.0
parse_cdata_many,16777216,cand-on8,8,3,2052964.0,7707000.0
parse_cdata_many,16777216,cand-on8,8,4,1854775.0,7004000.0
parse_cdata_many,16777216,cand-auto16,16,4,1889420.0,9505000.0
parse_cdata_many,16777216,cand-auto8,8,4,2350418.0,7839000.0
parse_cdata_many,16777216,cand-off,1,4,5036742.0,5013000.0
parse_cdata_many,16777216,oracle,1,4,42228770.0,42162000.0
parse_cdata_many,16777216,oracle,1,5,43029843.0,42268000.0
parse_cdata_many,16777216,cand-off,1,5,4871474.0,4856000.0
parse_cdata_many,16777216,cand-auto8,8,5,2242477.0,9126000.0
parse_cdata_many,16777216,cand-auto16,16,5,1854554.0,9558000.0
parse_cdata_many,16777216,cand-on8,8,5,1839857.0,7925000.0
parse_cdata_many,16777216,cand-on8,8,6,2448721.0,9376000.0
parse_cdata_many,16777216,cand-auto16,16,6,2054947.0,10133000.0
parse_cdata_many,16777216,cand-auto8,8,6,1808038.0,7739000.0
parse_cdata_many,16777216,cand-off,1,6,5385031.0,5375000.0
parse_cdata_many,16777216,oracle,1,6,41270616.0,41197000.0
parse_cdata_many,16777216,oracle,1,7,44397791.0,44338000.0
parse_cdata_many,16777216,cand-off,1,7,5339306.0,5305000.0
parse_cdata_many,16777216,cand-auto8,8,7,1851108.0,7046000.0
parse_cdata_many,16777216,cand-auto16,16,7,1590152.0,9308000.0
parse_cdata_many,16777216,cand-on8,8,7,1762663.0,7463000.0
parse_cdata_many,67108864,oracle,1,1,162103627.0,161921000.0
